City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
228,Port Elizabeth,ZA,-33.918,25.5701,55.31,83,2,4.61,clear sky
229,Susangerd,IR,31.5608,48.1831,106.54,27,4,6.2,clear sky
230,Atar,MR,20.5169,-13.0499,95.45,31,7,11.41,clear sky
231,Lorengau,PG,-2.0226,147.2712,81.95,76,94,14.38,overcast clouds
232,Lompoc,US,34.6391,-120.4579,91.54,66,0,14.97,clear sky
233,Yarada,IN,17.65,83.2667,82.72,89,40,2.3,mist
234,Urengoy,RU,65.9667,78.3667,50.52,82,9,7.7,clear sky
235,Kapoeta,SS,4.7717,33.5903,70.09,77,82,4.81,broken clouds
236,Brae,GB,60.3964,-1.353,56.8,93,99,24.61,overcast clouds
237,Paamiut,GL,61.994,-49.6678,43.83,90,67,4.47,broken clouds
238,Ballina,AU,-28.8667,153.5667,53.02,99,97,3.74,overcast clouds
239,Coquimbo,CL,-29.9533,-71.3436,53.33,76,100,4.61,overcast clouds
240,Vryheid,ZA,-27.7695,30.7917,49.93,89,0,4.7,clear sky
241,Komsomolskoye,RU,55.2567,47.5461,62.56,87,57,3.98,broken clouds
242,Vao,NC,-22.6667,167.4833,73.17,85,65,8.63,broken clouds
243,Butterworth,MY,5.3991,100.3638,79.0,93,20,4.61,light rain
244,Porto Novo,BJ,6.4965,2.6036,75.02,76,100,8.21,overcast clouds
245,Champerico,GT,14.3,-91.9167,93.74,70,7,8.95,clear sky
246,Jasper,US,37.2001,-94.3502,101.1,35,20,13.8,few clouds
247,Carutapera,BR,-1.195,-46.02,78.96,82,14,9.31,moderate rain
248,Ust-Ishim,RU,57.6935,71.1665,51.48,81,2,5.06,clear sky
249,Angoche,MZ,-16.2325,39.9086,72.28,82,16,7.74,few clouds
250,High Level,CA,58.5169,-117.136,68.11,60,75,3.44,broken clouds
251,Bilma,NE,18.6853,12.9164,93.18,32,5,6.82,clear sky
252,Clyde River,CA,70.4692,-68.5914,41.23,93,100,9.22,moderate rain
253,Tenenkou,ML,14.4572,-4.9169,87.94,47,97,4.23,overcast clouds
254,Lata,PT,40.1629,-8.3327,64.31,89,0,2.53,clear sky
255,Tarauaca,BR,-8.1614,-70.7656,83.14,67,100,0.58,overcast clouds
256,Labuan,MY,5.2767,115.2417,77.36,100,20,0.0,few clouds
257,Montrose,US,38.4166,-108.2673,81.81,25,50,14.7,scattered clouds
258,Cabras,IT,39.93,8.5314,76.19,77,2,1.36,clear sky
259,Katangli,RU,51.7102,143.2326,55.09,94,100,7.94,overcast clouds
260,Savinka,RU,50.0785,47.0994,72.97,46,2,10.94,clear sky
261,Bairiki,KI,1.3292,172.9752,84.2,70,40,11.5,scattered clouds
262,Te Anau,NZ,-45.4167,167.7167,45.23,91,97,7.4,overcast clouds
